formatted_date,articles,sentiment
2023-08-03,5,-3
2023-08-04,3,-3
2023-08-05,5,-5
2023-08-06,6,-2
2023-08-07,6,-2
2023-08-08,5,-3
2023-08-09,2,-2
2023-08-10,6,2
2023-08-11,9,-5
2023-08-12,1,1
2023-08-13,25,3
2023-08-14,98,16
2023-08-15,31,-1
2023-08-16,18,-4
2023-08-17,22,0
2023-08-18,21,-3
2023-08-19,5,1
2023-08-20,2,0
2023-08-21,22,-8
2023-08-22,20,0
2023-08-23,19,-11
2023-08-24,15,1
2023-08-25,6,-2
2023-08-26,1,1
2023-08-27,3,1
2023-08-28,7,-1
2023-08-29,17,-3
2023-08-30,12,2
2023-08-31,8,2
2023-09-01,6,2
2023-09-02,1,1
2023-09-03,2,0
2023-09-04,7,-7
2023-09-05,6,-2
2023-09-06,10,-4
2023-09-07,7,3
2023-09-08,7,1
2023-09-09,2,0
2023-09-10,3,1
2023-09-11,4,-2
2023-09-12,3,-1
2023-09-13,6,2
2023-09-14,4,2
2023-09-15,7,-7
2023-09-16,1,1
2023-09-17,5,-1
2023-09-18,18,4
2023-09-19,16,2
2023-09-20,15,-5
2023-09-21,20,2
2023-09-22,12,0
2023-09-23,1,-1
2023-09-24,4,-4
2023-09-25,12,0
2023-09-26,2,2
2023-09-27,5,-1
2023-09-28,10,2
2023-09-29,6,-2
2023-09-30,3,-1
2023-10-01,6,4
2023-10-02,14,2
2023-10-03,5,1
2023-10-04,5,3
2023-10-05,3,3
2023-10-06,5,1
2023-10-07,5,-1
2023-10-09,1,1
2023-10-10,2,2
2023-10-11,6,4
2023-10-12,7,1
2023-10-13,4,2
2023-10-15,2,0
2023-10-16,3,1
2023-10-17,6,-2
2023-10-18,3,1
2023-10-19,5,3
2023-10-20,2,2
2023-10-21,1,-1
2023-10-22,2,0
2023-10-23,1,1
2023-10-24,6,-2
2023-10-25,7,-3
2023-10-26,16,0
2023-10-27,15,5
2023-10-28,2,0
2023-10-29,2,-2
2023-10-30,11,-3
2023-10-31,8,2
2023-11-01,5,-1
2023-11-02,4,0
2023-11-03,13,3
2023-11-04,2,0
2023-11-05,1,-1
2023-11-06,1,-1
2023-11-07,2,0
2023-11-08,2,0
2023-11-09,3,-1
2023-11-10,4,-2
2023-11-12,1,-1
2023-11-13,1,1
2023-11-14,6,-2
2023-11-15,2,0
2023-11-16,3,-3
2023-11-17,8,-4
2023-11-19,2,-2
2023-11-20,5,-1
2023-11-21,4,0
2023-11-22,3,-1
2023-11-25,2,-2
2023-11-26,3,-1
2023-11-27,1,1
2023-11-28,13,1
2023-11-29,9,-3
2023-11-30,6,4
2023-12-01,2,0
2023-12-03,1,1
2023-12-04,1,1
2023-12-05,3,1
2023-12-06,4,-2
2023-12-07,5,-1
2023-12-08,7,5
2023-12-10,4,0
2023-12-12,2,2
2023-12-13,16,6
2023-12-14,6,2
2023-12-15,8,-2
2023-12-16,1,-1
2023-12-17,4,0
2023-12-18,81,19
2023-12-19,33,-7
2023-12-20,14,2
2023-12-21,23,-13
2023-12-22,9,1
2023-12-23,2,0
2023-12-24,2,0
2023-12-25,2,0
2023-12-26,3,-1
2023-12-27,4,-2
2023-12-28,4,-2
2023-12-30,1,1
2024-01-01,2,0
2024-01-02,7,3
2024-01-03,10,0
2024-01-04,4,2
2024-01-05,4,2
2024-01-08,2,0
2024-01-09,3,1
2024-01-10,1,1
2024-01-11,17,1
2024-01-12,8,4
2024-01-15,2,-2
2024-01-16,5,3
2024-01-18,7,-3
