formatted_date,articles,sentiment
2023-08-02,2,2
2023-08-03,1,-1
2023-08-07,2,0
2023-08-10,1,1
2023-08-14,3,1
2023-08-15,5,3
2023-08-16,6,4
2023-08-17,3,3
2023-08-18,1,1
2023-08-21,3,1
2023-08-31,1,-1
2023-09-21,1,1
2023-10-05,1,1
2023-10-06,1,1
2023-10-16,2,2
2023-10-17,3,1
2023-10-18,5,3
2023-10-19,2,2
2023-10-20,1,1
2023-10-30,2,2
2023-11-02,1,1
2023-11-03,1,1
2023-11-04,1,1
2023-11-05,1,1
2023-11-06,1,1
2023-11-07,1,-1
2023-11-13,6,0
2023-11-14,3,3
2023-11-15,2,-2
2023-11-16,2,0
2023-11-18,1,1
2023-11-19,2,0
2023-11-20,9,3
2023-11-21,4,4
2023-11-22,2,2
2023-11-24,2,0
2023-11-27,2,2
2023-11-28,8,0
2023-11-29,1,1
2023-11-30,1,1
2023-12-01,1,1
2023-12-06,1,1
2023-12-07,1,-1
2023-12-10,1,1
2023-12-11,4,4
2023-12-12,1,1
2023-12-14,3,3
2023-12-18,1,-1
2023-12-19,2,0
2023-12-20,1,1
2023-12-21,3,-1
2023-12-22,2,2
2023-12-24,1,1
2023-12-26,1,1
2023-12-29,1,1
2023-12-30,2,2
2024-01-02,2,0
2024-01-03,4,2
2024-01-04,1,1
2024-01-05,2,0
2024-01-06,1,1
2024-01-10,1,1
2024-01-11,1,-1
2024-01-12,2,2
2024-01-22,4,-2
2024-01-23,4,4
2024-01-24,4,2
2024-01-29,2,2
2024-02-02,1,1
2024-02-06,12,-2
2024-02-07,2,-2
2024-02-13,1,1
2024-02-17,1,1
2024-02-23,6,4
2024-02-24,2,2
2024-02-25,1,1
2024-02-26,4,4
2024-03-06,1,-1
2024-03-07,1,1
2024-03-08,4,4
2024-03-10,3,3
2024-03-11,12,4
2024-03-12,4,4
2024-03-13,8,-2
2024-03-14,2,2
2024-03-15,5,1
2024-03-16,1,1
2024-03-17,2,2
2024-03-18,3,3
2024-03-19,2,2
2024-03-20,2,2
2024-03-24,1,1
2024-03-25,1,1
2024-03-29,2,2
2024-04-01,2,2
2024-04-02,2,2
2024-04-03,3,3
2024-04-05,3,-1
2024-04-06,2,2
2024-04-07,3,1
2024-04-08,9,9
2024-04-10,1,1
2024-04-11,1,-1
2024-04-16,9,5
2024-04-17,5,5
2024-04-18,1,1
2024-04-19,2,0
2024-04-22,4,0
2024-04-23,4,2
2024-04-30,1,1
2024-05-02,1,1
2024-05-07,1,-1
2024-05-09,3,3
2024-05-10,1,1
2024-05-12,2,-2
2024-05-13,13,5
2024-05-14,12,4
2024-05-15,1,1
2024-05-20,1,-1
2024-05-22,4,4
2024-05-23,4,4
2024-05-24,3,1
2024-05-29,1,1
2024-06-01,1,1
2024-06-02,2,0
2024-06-03,4,4
2024-06-04,2,2
2024-06-06,1,-1
2024-06-08,1,-1
2024-06-13,1,-1
2024-06-17,4,4
2024-06-21,3,-1
2024-06-24,2,2
2024-06-25,1,-1
2024-07-02,1,1
2024-07-09,1,-1
2024-07-10,1,-1
2024-07-15,2,2
2024-07-16,1,-1
2024-07-17,4,2
2024-07-18,5,5
2024-07-19,1,-1
2024-07-22,1,-1
