formatted_date,articles,sentiment
2023-08-02,3,1
2023-08-03,2,0
2023-08-04,3,3
2023-08-07,4,0
2023-08-08,2,0
2023-08-09,1,1
2023-08-10,1,1
2023-08-11,3,1
2023-08-14,2,2
2023-08-15,2,2
2023-08-17,1,1
2023-08-18,3,-1
2023-08-19,2,2
2023-08-20,1,1
2023-08-21,3,1
2023-08-22,3,1
2023-08-23,1,-1
2023-08-25,1,1
2023-08-28,1,-1
2023-08-29,3,-3
2023-08-30,4,0
2023-08-31,2,-2
2023-09-01,2,0
2023-09-04,4,2
2023-09-05,4,2
2023-09-06,4,-2
2023-09-07,1,-1
2023-09-08,4,2
2023-09-09,1,1
2023-09-11,4,2
2023-09-12,5,3
2023-09-13,4,2
2023-09-14,4,2
2023-09-15,2,0
2023-09-17,1,1
2023-09-18,7,1
2023-09-19,2,2
2023-09-20,1,1
2023-09-21,3,-3
2023-09-25,1,-1
2023-09-28,2,0
2023-09-29,7,1
2023-10-02,2,-2
2023-10-03,2,-2
2023-10-04,3,-1
2023-10-05,2,-2
2023-10-06,2,0
2023-10-07,1,1
2023-10-09,1,-1
2023-10-11,4,2
2023-10-12,3,-3
2023-10-14,1,1
2023-10-16,1,1
2023-10-17,9,1
2023-10-18,5,-3
2023-10-19,3,1
2023-10-20,2,0
2023-10-23,4,2
2023-10-24,4,4
2023-10-25,10,2
2023-10-26,9,-1
2023-10-27,5,1
2023-10-28,1,-1
2023-10-31,2,2
2023-11-01,4,0
2023-11-02,1,1
2023-11-03,4,-2
2023-11-06,3,-3
2023-11-07,2,-2
2023-11-08,1,1
2023-11-09,2,0
2023-11-10,3,1
2023-11-13,2,0
2023-11-14,2,0
2023-11-15,4,0
2023-11-16,2,-2
2023-11-20,2,2
2023-11-21,2,2
2023-11-22,5,3
2023-11-23,5,3
2023-11-24,3,1
2023-11-28,2,-2
2023-11-29,4,4
2023-11-30,6,0
2023-12-01,6,-4
2023-12-02,1,-1
2023-12-04,1,1
2023-12-05,2,0
2023-12-06,5,-1
2023-12-07,3,3
2023-12-08,2,-2
2023-12-11,4,2
2023-12-14,2,2
2023-12-18,2,0
2023-12-20,1,-1
2023-12-21,1,1
2023-12-22,2,0
2023-12-26,1,-1
2023-12-27,2,2
2023-12-29,1,-1
2024-01-03,1,1
2024-01-04,2,0
2024-01-05,1,1
2024-01-08,2,0
2024-01-09,2,2
2024-01-10,1,1
2024-01-11,1,-1
2024-01-12,2,0
2024-01-15,2,-2
2024-01-16,1,1
2024-01-17,3,1
2024-01-18,4,0
2024-01-19,3,-1
2024-01-20,1,1
2024-01-22,3,1
2024-01-23,3,1
2024-01-24,4,2
2024-01-25,4,2
2024-01-26,3,-1
2024-01-29,6,0
2024-01-30,4,-2
2024-01-31,15,-1
2024-02-01,20,0
2024-02-02,24,10
2024-02-03,1,-1
2024-02-05,2,0
2024-02-06,2,2
2024-02-07,1,-1
2024-02-08,1,1
2024-02-09,1,1
2024-02-10,46,-32
2024-02-12,3,-1
2024-02-14,4,0
2024-02-15,5,5
2024-02-16,3,-3
2024-02-17,1,-1
2024-02-20,1,1
2024-02-21,1,1
2024-02-22,1,1
2024-02-26,3,3
2024-02-27,1,1
2024-03-01,1,-1
2024-03-02,1,-1
2024-03-04,2,-2
2024-03-05,2,-2
2024-03-06,4,-2
2024-03-07,3,-1
2024-03-08,7,3
2024-03-11,3,1
2024-03-12,2,-2
2024-03-14,2,-2
2024-03-15,4,-4
2024-03-16,1,-1
2024-03-20,1,1
2024-03-21,1,-1
2024-03-22,2,-2
2024-03-26,1,-1
2024-03-27,1,-1
2024-03-30,1,1
2024-03-31,2,2
2024-04-01,4,2
2024-04-02,3,3
2024-04-03,1,1
2024-04-08,1,1
2024-04-09,4,0
2024-04-10,1,1
2024-04-11,2,2
2024-04-15,4,-4
2024-04-16,2,2
2024-04-17,2,0
2024-04-19,2,-2
2024-04-23,3,1
2024-04-24,10,8
2024-04-25,16,10
2024-04-26,26,16
2024-04-27,1,1
2024-04-28,1,1
2024-04-29,4,2
2024-04-30,4,-2
2024-05-01,2,2
2024-05-02,4,0
2024-05-04,1,-1
2024-05-06,3,1
2024-05-07,2,0
2024-05-08,1,1
2024-05-09,3,1
2024-05-10,2,2
2024-05-13,2,2
2024-05-14,3,1
2024-05-15,2,-2
2024-05-16,4,2
2024-05-17,5,1
2024-05-18,1,1
2024-05-20,2,0
2024-05-21,1,1
2024-05-22,2,0
2024-05-23,1,1
2024-05-24,1,1
2024-05-27,2,2
2024-05-28,4,0
2024-05-29,1,-1
2024-05-31,2,-2
2024-06-03,1,1
2024-06-04,5,3
2024-06-05,1,-1
2024-06-07,7,3
2024-06-10,6,4
2024-06-11,3,3
2024-06-12,6,4
2024-06-13,4,4
2024-06-14,1,1
2024-06-16,1,-1
2024-06-17,1,-1
2024-06-18,4,2
2024-06-20,1,1
2024-06-21,1,-1
2024-06-24,3,3
2024-06-25,5,1
2024-06-26,3,1
2024-06-27,4,2
2024-06-28,4,0
2024-07-02,1,1
2024-07-03,2,0
2024-07-04,1,-1
2024-07-08,2,0
2024-07-09,5,1
2024-07-10,3,-3
2024-07-11,5,3
2024-07-12,2,0
2024-07-15,2,2
2024-07-16,3,-1
2024-07-17,3,1
2024-07-18,10,4
2024-07-19,2,2
2024-07-21,1,1
2024-07-22,6,2
2024-07-23,3,1
2024-07-24,15,-1
2024-07-25,16,-2
