formatted_date,articles,sentiment
2023-08-01,4,4
2023-08-02,7,1
2023-08-03,20,-6
2023-08-04,7,5
2023-08-08,2,0
2023-08-09,3,-1
2023-08-10,2,-2
2023-08-11,2,0
2023-08-12,3,-3
2023-08-13,2,0
2023-08-14,3,-1
2023-08-15,2,2
2023-08-16,4,0
2023-08-17,2,2
2023-08-20,2,0
2023-08-21,4,2
2023-08-22,3,-1
2023-08-23,1,-1
2023-08-28,1,1
2023-08-29,2,0
2023-08-30,1,1
2023-09-01,2,2
2023-09-04,1,-1
2023-09-05,1,-1
2023-09-07,1,1
2023-09-08,1,1
2023-09-10,1,-1
2023-09-11,4,0
2023-09-12,1,1
2023-09-13,2,2
2023-09-14,2,0
2023-09-15,2,0
2023-09-17,2,-2
2023-09-18,2,0
2023-09-19,2,0
2023-09-20,2,2
2023-09-21,4,2
2023-09-22,3,1
2023-09-25,2,2
2023-09-26,2,0
2023-09-27,3,3
2023-09-28,2,2
2023-09-29,2,0
2023-10-03,1,-1
2023-10-04,1,-1
2023-10-05,3,1
2023-10-06,2,0
2023-10-09,7,3
2023-10-10,14,8
2023-10-11,2,0
2023-10-16,3,1
2023-10-17,3,1
2023-10-18,4,0
2023-10-20,1,1
2023-10-22,1,1
2023-10-23,3,3
2023-10-26,1,-1
2023-10-27,1,1
2023-10-28,1,1
2023-10-29,2,-2
2023-10-30,2,0
2023-10-31,3,-1
2023-11-01,8,0
2023-11-02,13,1
2023-11-03,4,0
2023-11-04,2,2
2023-11-06,7,1
2023-11-07,2,0
2023-11-08,6,0
2023-11-09,4,-2
2023-11-10,1,-1
2023-11-12,1,1
2023-11-17,2,-2
2023-11-20,1,1
2023-11-21,1,1
2023-11-26,1,1
2023-11-27,1,1
2023-11-28,3,1
2023-11-29,3,-1
2023-11-30,4,2
2023-12-01,2,0
2023-12-04,1,1
2023-12-05,7,7
2023-12-06,4,4
2023-12-07,2,0
2023-12-11,1,1
2023-12-12,2,2
2023-12-14,1,1
2023-12-15,1,1
2023-12-19,1,1
2023-12-20,1,-1
2023-12-21,2,0
2023-12-26,1,1
2023-12-27,1,1
2024-01-01,1,1
2024-01-02,2,2
2024-01-06,1,1
2024-01-08,1,1
2024-01-09,1,1
2024-01-11,2,2
2024-01-12,1,1
2024-01-15,2,0
2024-01-16,3,-1
2024-01-18,4,4
2024-01-19,4,4
2024-01-20,1,-1
2024-01-22,4,2
2024-01-23,1,1
2024-01-24,2,2
2024-01-25,1,1
2024-01-26,1,1
2024-01-28,2,0
2024-01-29,1,-1
2024-01-30,1,1
2024-01-31,2,0
2024-02-01,3,1
2024-02-02,1,1
2024-02-04,1,1
2024-02-05,5,1
2024-02-06,2,2
2024-02-07,3,3
2024-02-08,1,1
2024-02-09,2,2
2024-02-10,32,-14
2024-02-11,1,-1
2024-02-12,3,1
2024-02-13,7,3
2024-02-14,4,0
2024-02-15,8,2
2024-02-16,2,-2
2024-02-17,1,1
2024-02-18,2,0
2024-02-19,3,-1
2024-02-20,1,1
2024-02-21,1,1
2024-02-22,7,1
2024-02-23,20,2
2024-02-24,2,0
2024-02-25,5,-3
2024-02-26,11,3
2024-02-27,2,-2
2024-02-28,3,1
2024-02-29,1,1
2024-03-01,3,3
2024-03-03,1,1
2024-03-04,5,3
2024-03-05,3,3
2024-03-07,4,2
2024-03-08,1,-1
2024-03-09,1,1
2024-03-10,2,0
2024-03-11,9,1
2024-03-12,6,0
2024-03-13,2,0
2024-03-14,1,1
2024-03-15,4,0
2024-03-17,2,2
2024-03-18,3,3
2024-03-20,2,2
2024-03-21,7,1
2024-03-24,1,1
2024-03-25,3,1
2024-03-26,4,2
2024-03-27,2,2
2024-03-28,3,1
2024-03-30,1,1
2024-04-01,2,2
2024-04-02,3,1
2024-04-03,6,4
2024-04-04,3,3
2024-04-05,4,4
2024-04-08,1,-1
2024-04-09,2,2
2024-04-10,4,-2
2024-04-11,5,1
2024-04-12,2,0
2024-04-14,1,1
2024-04-15,4,-2
2024-04-16,1,-1
2024-04-17,3,1
2024-04-18,6,2
2024-04-19,2,2
2024-04-22,2,2
2024-04-23,2,0
2024-04-24,6,4
2024-04-25,5,1
2024-04-27,1,-1
2024-04-28,1,1
2024-04-29,6,4
2024-05-01,5,3
2024-05-02,3,-1
2024-05-03,3,1
2024-05-04,2,-2
2024-05-05,1,1
2024-05-06,1,1
2024-05-07,2,0
2024-05-08,6,4
2024-05-09,16,4
2024-05-10,16,10
2024-05-11,3,1
2024-05-12,1,1
2024-05-13,2,2
2024-05-14,9,1
2024-05-15,5,1
2024-05-16,1,1
2024-05-17,1,1
2024-05-20,2,2
2024-05-21,6,2
2024-05-24,3,-3
2024-05-27,1,-1
2024-05-28,3,1
2024-05-29,2,2
2024-05-30,1,1
2024-05-31,2,2
2024-06-02,1,1
2024-06-03,9,9
2024-06-04,7,1
2024-06-05,4,0
2024-06-06,1,1
2024-06-07,3,-1
2024-06-10,1,-1
2024-06-11,3,1
2024-06-12,3,1
2024-06-13,3,1
2024-06-15,1,-1
2024-06-17,1,1
2024-06-19,2,0
2024-06-20,3,-1
2024-06-21,8,0
2024-06-23,1,1
2024-06-24,1,-1
2024-06-25,4,4
2024-06-26,5,-1
2024-06-27,5,-1
2024-06-28,5,5
2024-07-01,2,2
2024-07-02,2,0
2024-07-12,1,-1
2024-07-15,1,1
2024-07-17,1,1
2024-07-18,2,2
2024-07-19,2,2
2024-07-22,3,1
2024-07-23,2,2
2024-07-24,4,0
2024-07-25,4,0
