formatted_date,articles,sentiment
2023-07-31,2,2
2023-08-01,6,-2
2023-08-02,9,5
2023-08-03,13,7
2023-08-04,6,0
2023-08-06,2,-2
2023-08-07,7,-7
2023-08-08,10,0
2023-08-09,5,1
2023-08-10,6,2
2023-08-11,2,-2
2023-08-12,2,-2
2023-08-13,5,5
2023-08-14,11,-1
2023-08-15,10,-2
2023-08-16,8,8
2023-08-17,5,-1
2023-08-16,1,-1
2023-08-17,1,-1
2023-08-18,10,4
2023-08-19,1,-1
2023-08-20,7,5
2023-08-21,18,-2
2023-08-22,18,0
2023-08-23,15,5
2023-08-24,11,-1
2023-08-25,9,3
2023-08-26,1,1
2023-08-28,2,-2
2023-08-29,13,3
2023-08-30,9,1
2023-08-31,5,-1
2023-09-01,3,1
2023-09-03,2,0
2023-09-04,2,-2
2023-09-05,6,-4
2023-09-06,7,3
2023-09-07,11,-1
2023-09-08,8,2
2023-09-09,1,1
2023-09-10,4,0
2023-09-11,6,2
2023-09-12,13,5
2023-09-13,48,18
2023-09-14,14,0
2023-09-15,9,1
2023-09-17,2,2
2023-09-18,13,3
2023-09-19,14,4
2023-09-18,1,1
2023-09-19,1,1
2023-09-20,8,4
2023-09-21,5,-3
2023-09-22,14,-2
2023-09-23,1,-1
2023-09-24,1,1
2023-09-25,9,-5
2023-09-26,12,0
2023-09-27,13,1
2023-09-28,15,-3
2023-09-29,13,-3
2023-10-02,11,3
2023-10-03,10,-2
2023-10-04,15,1
2023-10-05,16,0
2023-10-06,11,3
2023-10-08,11,1
2023-10-09,40,6
2023-10-10,15,5
2023-10-11,20,-6
2023-10-12,17,1
2023-10-13,77,23
2023-10-14,6,-4
2023-10-15,8,-2
2023-10-16,41,15
2023-10-17,22,0
2023-10-18,12,-4
2023-10-19,16,4
2023-10-20,11,-1
2023-10-21,5,-3
2023-10-22,3,-1
2023-10-23,9,-1
2023-10-24,11,3
2023-10-25,14,2
2023-10-26,12,-4
2023-10-27,9,-3
2023-10-28,6,-4
2023-10-29,3,-1
2023-10-30,8,0
2023-10-31,5,-1
2023-11-01,8,-2
2023-11-02,12,8
2023-11-03,12,0
2023-11-05,4,-4
2023-11-06,21,-9
2023-11-07,11,7
2023-11-08,18,-2
2023-11-09,9,1
2023-11-10,10,2
2023-11-11,2,0
2023-11-12,6,4
2023-11-13,7,1
2023-11-14,12,12
2023-11-15,14,0
2023-11-16,18,2
2023-11-17,13,3
2023-11-18,2,2
2023-11-19,8,-2
2023-11-20,46,-12
2023-11-21,12,4
2023-11-22,14,10
2023-11-23,4,-2
2023-11-24,6,0
2023-11-25,2,-2
2023-11-26,1,-1
2023-11-27,11,-1
2023-11-28,7,3
2023-11-29,10,4
2023-11-30,13,3
2023-12-01,9,-3
2023-12-02,1,1
2023-12-03,2,0
2023-12-04,13,3
2023-12-05,18,4
2023-12-06,33,7
2023-12-07,1,1
2023-12-06,1,-1
2023-12-07,15,3
2023-12-08,9,3
2023-12-10,3,1
2023-12-11,8,2
2023-12-10,1,-1
2023-12-11,4,0
2023-12-12,11,11
2023-12-13,14,2
2023-12-14,21,-1
2023-12-15,16,2
2023-12-16,2,-2
2023-12-17,2,2
2023-12-18,14,6
2023-12-19,12,4
2023-12-20,11,-1
2023-12-21,15,3
2023-12-22,5,1
2023-12-24,1,1
2023-12-25,1,-1
2023-12-26,12,2
2023-12-27,8,4
2023-12-28,7,-3
2023-12-29,5,-1
2023-12-30,2,0
2024-01-01,5,1
2024-01-02,18,10
2024-01-03,12,2
2024-01-04,13,9
2024-01-05,19,3
2024-01-06,2,2
2024-01-07,10,4
2024-01-08,22,-2
2024-01-09,19,3
2024-01-10,31,-5
2024-01-11,47,-1
2024-01-12,83,-29
2024-01-11,1,1
2024-01-12,8,0
2024-01-13,7,1
2024-01-14,3,3
2024-01-15,5,3
2024-01-14,1,1
2024-01-15,7,-1
2024-01-16,22,6
2024-01-17,2,0
2024-01-16,1,-1
2024-01-17,14,-4
2024-01-18,19,-5
2024-01-19,16,-6
2024-01-20,4,-4
2024-01-21,40,-18
2024-01-22,9,3
2024-01-23,8,4
2024-01-24,16,10
2024-01-25,5,3
2024-01-26,11,-1
2024-01-27,1,1
2024-01-28,5,1
2024-01-29,18,6
2024-01-30,23,-1
2024-01-31,11,3
2024-02-01,13,1
2024-02-02,5,3
2024-02-04,2,0
2024-02-05,5,3
2024-02-06,7,-1
2024-02-07,6,2
2024-02-08,9,1
2024-02-09,10,2
2024-02-10,1,1
2024-02-11,3,-1
2024-02-12,14,6
2024-02-13,15,7
2024-02-14,25,7
2024-02-15,11,5
2024-02-16,7,3
2024-02-17,3,1
2024-02-18,1,1
2024-02-19,6,4
2024-02-20,18,-10
2024-02-21,10,6
2024-02-22,8,2
2024-02-23,8,2
2024-02-24,2,0
2024-02-25,2,0
2024-02-26,16,6
2024-02-27,11,5
2024-02-28,11,1
2024-02-29,14,0
2024-03-01,3,1
2024-02-29,1,1
2024-03-01,5,3
2024-03-03,2,0
2024-03-04,12,6
2024-03-05,7,1
2024-03-06,12,4
2024-03-07,9,1
2024-03-08,5,-1
2024-03-09,1,-1
2024-03-10,2,0
2024-03-11,9,1
2024-03-12,5,1
2024-03-13,10,0
2024-03-14,19,7
2024-03-15,3,1
2024-03-16,1,-1
2024-03-17,3,-1
2024-03-18,4,-2
2024-03-19,9,-1
2024-03-20,7,5
2024-03-21,12,4
2024-03-22,2,2
2024-03-23,3,1
2024-03-24,1,-1
2024-03-25,12,6
2024-03-26,12,6
2024-03-27,16,10
2024-03-28,11,3
2024-03-29,3,-3
2024-03-31,5,-1
2024-04-01,16,4
2024-04-02,10,0
2024-04-03,10,0
2024-04-04,13,3
2024-04-05,9,-3
2024-04-07,6,2
2024-04-08,15,-1
2024-04-09,10,8
2024-04-08,1,1
2024-04-09,6,2
2024-04-10,21,-3
2024-04-11,23,9
2024-04-12,70,-10
2024-04-13,5,-1
2024-04-14,6,0
2024-04-15,31,-1
2024-04-16,17,1
2024-04-17,17,3
2024-04-18,11,9
2024-04-19,4,2
2024-04-20,1,1
2024-04-21,3,1
2024-04-22,13,5
2024-04-23,14,8
2024-04-24,12,4
2024-04-25,10,2
2024-04-26,6,4
2024-04-27,1,1
2024-04-28,2,0
2024-04-29,5,1
2024-04-30,9,-1
2024-05-01,16,4
2024-05-02,10,4
2024-05-03,8,2
2024-05-04,2,-2
2024-05-05,2,-2
2024-05-06,6,4
2024-05-07,8,6
2024-05-08,13,9
2024-05-09,9,1
2024-05-11,3,1
2024-05-12,2,2
2024-05-13,8,0
2024-05-14,13,-1
2024-05-15,9,-1
2024-05-16,12,6
2024-05-17,5,3
2024-05-18,2,0
2024-05-19,4,0
2024-05-20,5,3
2024-05-21,9,1
2024-05-22,26,6
2024-05-23,6,-2
2024-05-24,5,-1
2024-05-27,5,5
2024-05-28,7,-1
2024-05-29,2,2
2024-05-30,5,3
2024-05-31,3,-1
2024-06-02,3,1
2024-06-03,7,3
2024-06-04,4,4
2024-06-05,3,3
2024-06-06,7,3
2024-06-07,1,-1
2024-06-09,3,1
2024-06-10,8,2
2024-06-11,9,-5
2024-06-12,11,7
2024-06-13,8,2
2024-06-14,3,1
2024-06-15,1,-1
2024-06-16,3,3
2024-06-17,11,3
2024-06-18,28,0
2024-06-19,8,0
2024-06-20,32,-2
2024-06-21,17,-11
2024-06-22,1,-1
2024-06-23,6,-2
2024-06-24,10,-2
2024-06-25,7,1
2024-06-26,13,-1
2024-06-27,14,-2
2024-06-28,17,3
2024-06-29,1,1
2024-07-01,7,1
2024-07-03,3,1
2024-07-05,4,2
2024-07-07,3,3
2024-07-08,12,8
2024-07-09,4,2
2024-07-10,15,-11
2024-07-11,15,-5
2024-07-12,40,-2
2024-07-13,1,-1
2024-07-14,2,2
2024-07-15,12,8
2024-07-16,14,4
2024-07-17,7,1
2024-07-18,9,-1
2024-07-19,8,0
2024-07-20,2,0
2024-07-21,1,-1
2024-07-22,5,-1
2024-07-23,8,-6
2024-07-24,5,-1
2024-07-25,7,5
