formatted_date,articles,sentiment
2023-08-02,1,-1
2023-08-03,1,-1
2023-08-08,1,1
2023-08-09,1,1
2023-08-10,1,1
2023-08-16,2,0
2023-08-22,2,2
2023-08-24,2,0
2023-08-25,2,2
2023-08-28,2,2
2023-08-29,2,0
2023-08-30,1,1
2023-08-31,3,3
2023-09-03,1,-1
2023-09-05,1,1
2023-09-06,1,1
2023-09-07,1,1
2023-09-08,1,-1
2023-09-11,1,1
2023-09-12,1,1
2023-09-14,4,0
2023-09-18,1,1
2023-09-21,1,-1
2023-09-28,1,1
2023-10-03,1,1
2023-10-04,2,2
2023-10-05,1,1
2023-10-09,1,-1
2023-10-10,3,-3
2023-10-11,1,1
2023-10-17,1,1
2023-10-18,2,0
2023-10-19,1,1
2023-10-23,6,-2
2023-10-24,10,-8
2023-10-25,9,-3
2023-10-27,1,-1
2023-10-29,1,-1
2023-10-30,1,-1
2023-10-31,1,-1
2023-11-01,1,1
2023-11-03,2,-2
2023-11-06,2,0
2023-11-07,1,-1
2023-11-08,4,0
2023-11-10,1,-1
2023-11-13,2,0
2023-11-14,2,-2
2023-11-15,1,-1
2023-11-16,1,-1
2023-11-17,2,0
2023-11-20,2,-2
2023-11-21,1,-1
2023-11-22,2,2
2023-11-23,1,1
2023-11-27,1,-1
2023-11-28,1,1
2023-11-30,1,-1
2023-12-04,1,1
2023-12-06,2,0
2023-12-07,1,1
2023-12-12,1,1
2023-12-13,1,1
2023-12-14,2,-2
2023-12-16,1,1
2023-12-19,1,1
2023-12-31,1,1
2024-01-03,1,1
2024-01-04,2,2
2024-01-08,2,2
2024-01-10,1,1
2024-01-13,1,1
2024-01-14,2,0
2024-01-15,2,0
2024-01-17,2,0
2024-01-18,3,1
2024-01-21,3,1
2024-01-22,1,1
2024-01-23,1,-1
2024-01-25,1,1
2024-01-28,2,2
2024-01-29,8,2
2024-01-30,9,1
2024-01-31,10,0
2024-02-01,1,-1
2024-02-02,1,1
2024-02-05,2,2
2024-02-06,27,-13
2024-02-07,3,-1
2024-02-09,2,-2
2024-02-10,1,-1
2024-02-13,1,-1
2024-02-15,1,-1
2024-02-19,2,0
2024-02-20,1,-1
2024-02-21,2,0
2024-02-22,2,2
2024-02-23,2,0
2024-02-24,2,2
2024-02-25,1,-1
2024-02-26,2,2
2024-03-01,1,-1
2024-03-05,1,1
2024-03-06,1,-1
2024-03-07,1,-1
2024-03-08,1,-1
2024-03-11,1,1
2024-03-13,1,1
2024-03-14,2,2
2024-03-19,2,0
2024-03-24,1,-1
2024-03-25,1,1
2024-03-27,1,-1
2024-03-28,1,1
2024-04-01,2,0
2024-04-02,1,-1
2024-04-04,2,0
2024-04-05,2,0
2024-04-10,2,-2
2024-04-11,2,0
2024-04-14,1,-1
2024-04-15,3,1
2024-04-19,1,1
2024-04-22,9,1
2024-04-23,14,-2
2024-04-24,11,-7
2024-04-25,6,0
2024-04-26,3,-1
2024-04-27,1,-1
2024-04-28,2,-2
2024-04-29,1,-1
2024-04-30,2,0
2024-05-02,1,-1
2024-05-03,1,-1
2024-05-06,1,-1
2024-05-07,1,1
2024-05-08,2,-2
2024-05-13,1,1
2024-05-14,4,0
2024-05-15,5,3
2024-05-16,7,3
2024-05-17,1,-1
2024-05-20,1,1
2024-05-22,1,-1
2024-05-23,1,1
2024-05-24,1,-1
2024-05-28,1,1
2024-05-29,1,1
2024-06-04,1,1
2024-06-10,2,0
2024-06-12,1,-1
2024-06-13,1,-1
2024-06-14,1,-1
2024-06-17,1,-1
2024-06-19,1,1
2024-06-20,1,1
2024-06-24,1,1
2024-06-25,1,1
2024-06-26,1,1
2024-06-28,3,1
2024-07-01,1,-1
2024-07-03,2,0
2024-07-05,1,1
2024-07-08,1,1
2024-07-12,1,-1
2024-07-15,2,2
2024-07-17,2,0
2024-07-18,2,-2
2024-07-19,1,-1
2024-07-20,1,1
2024-07-21,2,0
2024-07-22,5,-3
2024-07-23,12,-2
2024-07-24,9,3
2024-07-25,1,1
