formatted_date,articles,sentiment
2023-08-03,1,-1
2023-08-07,2,0
2023-08-08,2,0
2023-08-09,1,1
2023-08-10,1,-1
2023-08-12,1,-1
2023-08-14,1,1
2023-08-15,1,-1
2023-08-28,2,0
2023-09-04,1,1
2023-09-06,1,1
2023-09-09,1,-1
2023-09-14,1,1
2023-09-20,3,3
2023-09-21,1,-1
2023-09-22,1,-1
2023-09-27,2,2
2023-10-11,1,1
2023-10-12,1,-1
2023-10-16,1,-1
2023-10-17,2,0
2023-10-19,1,1
2023-10-24,1,-1
2023-10-31,1,-1
2023-11-06,2,0
2023-11-07,2,0
2023-11-08,2,0
2023-11-09,1,-1
2023-11-11,1,-1
2023-11-12,1,-1
2023-11-14,1,1
2023-11-15,1,-1
2023-11-16,1,1
2023-11-22,1,-1
2023-11-24,1,1
2023-11-28,1,-1
2023-12-12,1,1
2023-12-13,1,1
2023-12-14,1,1
2023-12-18,1,1
2023-12-21,2,0
2023-12-22,1,-1
2023-12-28,1,-1
2024-01-08,4,4
2024-01-09,1,1
2024-01-16,2,2
2024-01-17,1,1
2024-02-05,18,-4
2024-02-07,2,0
2024-02-13,1,-1
2024-02-20,1,-1
2024-02-21,1,-1
2024-02-22,1,1
2024-02-27,4,-4
2024-02-28,4,0
2024-02-29,2,0
2024-03-01,2,0
2024-03-04,1,-1
2024-03-05,1,-1
2024-03-06,3,1
2024-03-07,1,1
2024-03-19,4,-2
2024-03-20,2,0
2024-03-21,2,2
2024-03-27,1,1
2024-04-04,1,1
2024-04-10,1,-1
2024-04-11,1,1
2024-04-26,1,-1
2024-04-29,1,-1
2024-04-30,2,2
2024-05-08,6,0
2024-05-09,2,0
2024-05-10,1,-1
2024-05-11,1,-1
2024-05-13,3,1
2024-05-14,1,1
2024-05-20,2,2
2024-05-23,1,-1
2024-05-28,2,2
2024-05-30,1,1
2024-06-06,3,3
2024-06-17,1,-1
2024-06-24,1,1
2024-07-22,1,-1
